instrument,locale,key,english,extracted,flags,status
F1,bcl,item:RESP_POSITION,Respondent position / office,Email Address Mobile Number Date PSA SSRCS Clearnce No. DOH-2651-01 | Issued July 2026 | Valid until 31 July 2027 Questionnaire No: Universal Health Care (UHC) Survey 2026 – Year 2 Facility Head Survey Questionnaire FIELD CONTROL,"length-ratio,glued-short-label",flagged
F1,bcl,item:SURVEY_TEAM_LEADER_S_NAME,Survey Team Leader's Name,"Date First Visited the Facility (Month, Day, Year)","starts-mid-english,glued-short-label",flagged
F1,bcl,item:FIELD_VALIDATED_BY,Field Validated by,"Date of Final Visit to the Facility (Month, Day, Year)","starts-mid-english,glued-short-label",flagged
F1,bcl,item:FIELD_EDITED_BY,Field Edited by,Resulta aCodes: 1. Completed 2. Postponed 3. Refused 4. Incomplete,"length-ratio,contains-other-label,glued-short-label,ends-with-other-label",flagged
F1,bcl,item:TOTAL_NUMBER_OF_VISITS,Total Number of Visits,HEALTH FACILITY AND GEOGRAPHIC IDENTIFICATION,"glued-short-label,local-directive",flagged
F1,bcl,item:CLASSIFICATION,Classification,,empty,flagged
F1,bcl,vs:CLASSIFICATION_VS1,Classification,,empty,flagged
F1,bcl,val:CLASSIFICATION_VS1:1,UHC IS,,empty,flagged
F1,bcl,val:CLASSIFICATION_VS1:2,Non-UHC IS,,empty,flagged
F1,bcl,item:PROVINCE_HUC,Province / HUC,,empty,flagged
F1,bcl,vs:PROVINCE_HUC_VS1,Province / HUC,,empty,flagged
F1,bcl,item:CITY_MUNICIPALITY,City / Municipality,,empty,flagged
F1,bcl,vs:CITY_MUNICIPALITY_VS1,City / Municipality,,empty,flagged
F1,bcl,item:BARANGAY,Barangay,Location Latitude Longitude We would like to ask some of your personal information relevant to the survey. An sunod na kahapotan ay base sa saimong personal na impormasyon na relevant sa survey. A. Facility Head Profile,"length-ratio,glued-short-label",flagged
F1,bcl,vs:BARANGAY_VS1,Barangay,Location Latitude Longitude We would like to ask some of your personal information relevant to the survey. An sunod na kahapotan ay base sa saimong personal na impormasyon na relevant sa survey. A. Facility Head Profile,"length-ratio,glued-short-label",flagged
F1,bcl,item:Q2_FACILITY_ROLE,2. What is your official designation at this health facility?,,empty,flagged
F1,bcl,vs:Q2_FACILITY_ROLE_VS1,2. What is your official designation at this health facility?,,empty,flagged
F1,bcl,val:Q2_FACILITY_ROLE_VS1:5,Hospital Administrator,,empty,flagged
F1,bcl,val:Q2_FACILITY_ROLE_VS1:9,Administrative Officer/ Assistant,,empty,flagged
F1,bcl,val:Q2_FACILITY_ROLE_VS1:6,Nurse,Nurse,"english-own-match,echo-english",flagged
F1,bcl,val:Q2_FACILITY_ROLE_VS1:10,Midwife,Midwife,"english-own-match,echo-english",flagged
F1,bcl,val:Q2_FACILITY_ROLE_VS1:3,Chief of Hospital,,empty,flagged
F1,bcl,val:Q2_FACILITY_ROLE_VS1:7,Municipal / City Health Officer,,empty,flagged
F1,bcl,val:Q2_FACILITY_ROLE_VS1:11,Health Promotion / Nutrition Officer,,empty,flagged
F1,bcl,val:Q2_FACILITY_ROLE_VS1:4,Medical Director,,empty,flagged
F1,bcl,val:Q2_FACILITY_ROLE_VS1:8,Medical Officer,,empty,flagged
F1,bcl,val:Q2_FACILITY_ROLE_VS1:12,Rural Health Physician,,empty,flagged
